SAMPLE_ID,EASTING,NORTHING,DEPTH_M,LITHOLOGY,Au_ppm,Cu_ppm,Pb_ppm,Zn_ppm,As_ppm,Fe_pct,SiO2_pct
MR-0001,433857,6154923,99.1,basalt,<0.005,41,26,8,1.9,5.73,55.2
MR-0002,434130,6154114,182.1,basalt,0.027,42,13,73,9.2,3.95,61.3
MR-0003,433515,6154983,150.3,andesite,0.006,58,11,25,4.4,6.46,61.3
MR-0004,433647,6154856,49.9,basalt,0.095,18,8,19,10.5,7.53,57.0
MR-0005,433607,6155146,44.0,granodiorite,0.023,36,7,39,6.7,5.89,65.8
MR-0006,432089,6154251,25.2,basalt,0.012,30,20,12,4.5,4.65,52.3
MR-0007,433604,6155085,96.1,granodiorite,0.029,8,9,37,10.3,6.78,65.1
MR-0008,433042,6155191,122.5,basalt,0.026,21,4,15,2.6,6.39,59.3
MR-0009,433881,6155254,35.5,granodiorite,0.021,20,18,21,4.4,4.81,47.2
MR-0010,433457,6154651,19.3,granodiorite,0.011,34,17,53,5.5,4.74,57.3
MR-0011,432283,6155326,21.2,andesite,0.017,13,9,82,4.4,6.83,49.6
MR-0012,433182,6155295,95.1,andesite,0.026,7,17,39,3.5,2.90,58.6
MR-0013,433505,6155219,129.3,andesite,0.009,12,14,39,20.6,7.00,61.2
MR-0014,433003,6154868,172.2,basalt,0.006,13,9,13,10.7,5.10,44.8
MR-0015,432198,6154981,96.6,basalt,0.082,189,17,17,0.9,5.98,50.7
MR-0016,432285,6154506,145.1,granodiorite,0.010,52,14,30,2.4,2.49,53.6
MR-0017,433744,6154828,69.8,quartz vein,0.030,17,5,17,3.1,9.33,50.6
MR-0018,432717,6154783,218.3,schist,0.028,32,11,32,3.4,6.30,53.9
MR-0019,434140,6154738,20.8,basalt,0.054,27,11,40,19.6,5.89,54.3
MR-0020,432881,6155078,192.4,andesite,0.013,10,4,105,28.5,5.18,54.6
MR-0021,432471,6154502,149.1,basalt,<0.005,38,9,33,5.2,6.11,70.7
MR-0022,432202,6155330,28.8,basalt,<0.005,24,6,14,2.7,4.90,66.2
MR-0023,432297,6155728,5.5,granodiorite,0.018,17,9,67,9.8,7.91,56.6
MR-0024,432435,6155679,177.0,schist,0.014,28,5,35,7.4,10.03,74.9
MR-0025,433121,6155377,190.9,granodiorite,0.006,31,32,20,3.4,1.63,56.5
MR-0026,434386,6155342,179.6,quartz vein,0.007,13,11,10,1.6,9.33,46.4
MR-0027,432252,6155077,62.6,schist,<0.005,19,16,111,2.5,5.06,65.0
MR-0028,433238,6155225,86.6,basalt,0.010,9,10,27,7.5,4.50,62.2
MR-0029,432763,6155707,10.8,schist,0.012,25,7,41,5.5,9.27,72.2
MR-0030,432575,6155763,176.4,granodiorite,<0.005,56,15,46,1.3,7.17,62.1
MR-0031,433870,6155411,140.7,granodiorite,0.012,20,11,28,6.9,8.15,35.0
MR-0032,433902,6155707,201.6,andesite,0.412,449,4,61,23.7,3.60,55.0
MR-0033,433154,6154130,161.7,schist,0.036,33,49,45,12.7,4.97,58.6
MR-0034,432976,6155068,172.2,andesite,1.440,289,52,55,20.6,3.39,53.3
MR-0035,433908,6154856,115.0,schist,<0.005,25,5,21,8.0,7.58,63.5
MR-0036,433730,6154157,144.7,granodiorite,0.012,33,44,8,3.6,6.56,43.8
MR-0037,433004,6154563,32.5,quartz vein,0.025,52,15,39,7.7,3.95,56.7
MR-0038,433470,6154862,82.8,basalt,0.030,12,11,93,3.1,4.02,59.8
MR-0039,434367,6154980,99.9,quartz vein,0.026,36,78,29,1.0,8.39,53.9
MR-0040,433307,6154199,219.3,basalt,<0.005,10,3,19,9.0,6.44,60.5
MR-0041,434110,6154442,31.5,basalt,0.007,34,21,36,12.0,5.91,62.8
MR-0042,434352,6155442,52.5,andesite,0.025,19,18,27,5.4,6.99,40.1
MR-0043,434038,6155463,42.5,andesite,1.336,313,35,32,41.9,3.99,52.7
MR-0044,433848,6154330,215.6,quartz vein,6.556,197,5,46,11.0,7.17,52.6
MR-0045,433100,6154967,142.8,granodiorite,0.017,21,16,43,19.9,4.88,44.7
MR-0046,432224,6154548,94.1,quartz vein,0.016,22,16,130,39.2,5.62,59.4
